"Tmin_phi1","l_phi1","c_phi1","Tmin_phi2","l_phi2","c_phi2","Tmin_a","l_a","c_a","Tmin_b","l_b","Lposterior","Llikelihood","Lprior"
-0.971736004188292,0.923852796334388,0.594156966638949,2.23056357029086,4.58045598831126,6.50022797001796,0.88051722940065,0.326507410604976,1.08492726668882,-2.43086587914719,-6.47746984768341,-3240.32469700651,-3235.70444417904,-4.62025282746627
-0.974728083804094,0.938091587794113,0.526491857954166,2.47551151839717,4.60080996897653,6.53551466571594,0.973691560416475,0.373277407706334,1.1394566457988,-2.35323771765681,-6.7899543179648,-3249.59007602783,-3244.49356367824,-5.09651234958959
-0.978981169418659,0.961480378237755,0.546273675958623,2.4950179263723,4.65184127070843,6.4524133026147,0.952071977356304,0.360015373375517,1.16142407181955,-2.335855324505,-6.51661720615389,-3241.64211046651,-3236.94135364722,-4.70075681929605
-0.983729741684056,0.955697065905577,0.540148803054834,2.24407810658155,4.465139097076,6.49042722497602,0.93490261996904,0.321078072363866,1.12043968655054,-2.59965176826839,-6.24061405248555,-3238.1762412642,-3233.02098484284,-5.15525642136638
-0.964404900173878,0.93365402670805,0.619384296502084,2.38778446801799,4.73968014200109,6.36837303272981,0.928346561549697,0.356673974784996,1.14384810668881,-2.31665976656795,-6.54491962375393,-3243.95802154411,-3239.31485184159,-4.64316970251388
-0.982644805758727,0.958494735025183,0.5541517308379,2.4197268901245,4.51180934164916,6.45124409881557,0.931766912303233,0.353076667552926,1.07006826982919,-2.3890621137571,-6.53707080180619,-3235.45868111205,-3230.78388149568,-4.6747996163725
-0.978323993936378,0.955061072468136,0.60956379244404,2.41777375295048,4.5891226812498,6.40453923703113,0.881188845691306,0.312983966064355,1.16726329799258,-2.41269971814952,-6.37923291177726,-3236.35406686892,-3231.63514882796,-4.71891804096432
-0.983729741684056,0.955697065905577,0.540148803054834,2.24407810658155,4.465139097076,6.49042722497602,0.93490261996904,0.321078072363866,1.12043968655054,-2.59965176826839,-6.24061405248555,-3238.1762412642,-3233.02098484284,-5.15525642136638
-0.976453419044906,0.951401877482527,0.648008156885772,2.21384079309824,4.54463272930856,6.32416150305395,0.953837844037452,0.365475915241005,1.1020163863628,-2.28812204468304,-6.59204064024327,-3241.88584201803,-3237.13684623463,-4.74899578339973
-0.969236769392107,0.936065031403398,0.607110677198465,2.18457336853664,4.55847685404413,6.39205545830058,0.887315498241174,0.318961466841514,1.13122588394841,-2.41024046443549,-6.42440863460538,-3238.01602237518,-3233.38098916178,-4.63503321340028
-0.978301883967599,0.956452302974287,0.583377226386821,2.41397718974992,4.55366570365289,6.41323008024013,0.954235396177637,0.355138702666568,1.10504445756849,-2.40592877065361,-6.53875442907378,-3233.25773695275,-3228.56830644302,-4.68943050973904
-0.983968500115911,0.949172371745491,0.614896307665646,2.25197387587748,4.42308896955575,6.46036024032324,0.933760442157674,0.346670215303925,1.07149083391058,-2.38709656591691,-6.48317306489217,-3239.59828627425,-3234.92670908992,-4.67157718433541
-0.975807396292107,0.942115328878214,0.610865201837358,2.39924618217029,4.49440859379435,6.4023845568043,0.97732023202243,0.405200838610939,1.10357122313736,-2.19198469658615,-6.83285229802188,-3236.67384841062,-3231.24624455783,-5.42760385278825
-0.975306650101646,0.956088258390836,0.572193565362094,2.40196666250278,4.6579352852387,6.39641233631385,0.947365444370838,0.347512461758202,1.06847462638013,-2.43071182086205,-6.47151476757365,-3233.70331105142,-3228.97991852693,-4.72339252448656
-0.976023274581889,0.953661044901679,0.568858171108926,2.45485736459557,4.61455855409495,6.41354377529553,0.955784576501516,0.356448397694519,1.13071732236576,-2.38459593148007,-6.56812023121726,-3233.56697196906,-3228.86801500025,-4.69895696881157
-0.983968500115911,0.949172371745491,0.614896307665646,2.25197387587748,4.42308896955575,6.46036024032324,0.933760442157674,0.346670215303925,1.07149083391058,-2.38709656591691,-6.48317306489217,-3239.59828627425,-3234.92670908992,-4.67157718433541
-0.976439077184257,0.940957493592053,0.56631708971344,2.26335660164746,4.45351624064884,6.40279650751644,0.956892551817307,0.366789020167845,1.10239142958047,-2.36567345920236,-6.65886921826284,-3237.03143355278,-3232.23198440065,-4.79944915213261
-0.984766104517509,0.954119991669824,0.549545502586799,2.37162905620265,4.47054939431824,6.45208358075925,0.892618353122987,0.341012065511321,1.10318953323111,-2.37872446809494,-6.5300025013276,-3241.00819821422,-3236.43141739901,-4.5767808152104
-0.977881539614129,0.965171273484344,0.508597382690934,2.47700018674645,4.65834295656741,6.4060797531288,0.967879932129783,0.342240949360683,1.03720274758337,-2.54354553202881,-6.49839490548729,-3239.41588852929,-3234.45086646417,-4.9650220651215
-0.975170895551993,0.953261510380846,0.571429667961463,2.33522429361624,4.60678968276128,6.38401907798229,0.923204801523694,0.337437369062881,1.10345685920947,-2.43529781273754,-6.4450582595516,-3234.92510277823,-3230.2784565661,-4.64664621212054
-0.979181696579483,0.955057464960402,0.5836286219126,2.4217407126853,4.52764549083701,6.41353052131083,0.895074590139365,0.354233184147317,1.08959395955042,-2.29386718162142,-6.60610995594477,-3237.78466914996,-3233.13081010449,-4.65385904546875
-0.974700619523917,0.944243508598626,0.562810711995481,2.20970375008699,4.51609016219125,6.37362284033324,0.928264468256409,0.352798061560241,1.08612786820202,-2.36805350839118,-6.49839037817554,-3235.05958734366,-3230.42364116179,-4.6359461818717
-0.980151576660141,0.943870392594988,0.569756921854282,2.19543290449767,4.4450270152332,6.47771502773125,0.905019475952126,0.348144849097053,1.13110450027199,-2.3398429196948,-6.54215835277533,-3239.43529392905,-3234.8459803915,-4.58931353754471
-0.975170895551993,0.953261510380846,0.571429667961463,2.33522429361624,4.60678968276128,6.38401907798229,0.923204801523694,0.337437369062881,1.10345685920947,-2.43529781273754,-6.4450582595516,-3234.92510277823,-3230.2784565661,-4.64664621212054
-0.979689839897461,0.956999523493217,0.521804327314194,2.39659726957495,4.47723985965863,6.41461689078451,0.94995598977176,0.375814097736539,1.08871770356437,-2.31774459787994,-6.60423861551947,-3237.97944359804,-3233.21909027445,-4.76035332359329
-0.968019594094545,0.940274858988992,0.596018690878571,2.3220151344296,4.67617709462261,6.37361863286739,0.942107721839127,0.358268707002245,1.07014695497385,-2.36458005426786,-6.59107372720215,-3237.35367362394,-3232.62768366675,-4.72598995719264
-0.976322285116549,0.953544569534344,0.599904443241663,2.44982524837106,4.58587337614775,6.42031651989659,0.934611454878896,0.3685975832651,1.15294799792589,-2.25236778276749,-6.66077134528595,-3234.0990581697,-3229.28237385679,-4.81668431290331
-0.975636700668476,0.960010254621173,0.581829777846545,2.43262487706021,4.62249155582181,6.37586197549937,0.981391424806004,0.363636504759202,1.0554616537352,-2.44260431778754,-6.54065414179748,-3236.83623750891,-3231.97149484548,-4.86474266343182
-0.974883819875531,0.942735868042447,0.586870972714989,2.2106883024207,4.52857588070233,6.41421765013097,0.931504861108487,0.352585717688564,1.16676218041066,-2.30138021837422,-6.52299219666121,-3237.69772929202,-3233.0249348184,-4.67279447361378
